peer_key,kpi_key,period_year,value_as_published,unit_as_published,basis,source_url,verified_at,verified_by
geberit,ltifr,2024,6.0,per_million_hours,employees,https://reports.geberit.com/annual-report/2024/sustainability/performance-2024/people/occupational-health-and-safety.html,2026-09-13,Claude Fable 5.1 (agent read; owner re-read owed)
geberit,iso_45001_certified,2024,1,boolean,employees,https://reports.geberit.com/annual-report/2024/sustainability/performance-2024/people/occupational-health-and-safety.html,2026-09-13,Claude Fable 5.1 (agent read; owner re-read owed)
rieter,ltifr,2024,3.3,per_million_hours,employees,https://reports.rieter.com/2024/ar/en/people-related,2026-09-13,Claude Fable 5.1 (agent read; owner re-read owed)
sandvik,ltifr,2024,1.2,per_million_hours,employees_and_contractors,https://www.annualreport.sandvik/en/2024/sustainable-business/non-financial-notes/health-and-safety.html,2026-09-13,Claude Fable 5.1 (agent read; owner re-read owed)
sandvik,trifr,2024,3.0,per_million_hours,employees_and_contractors,https://www.annualreport.sandvik/en/2024/sustainable-business/non-financial-notes/health-and-safety.html,2026-09-13,Claude Fable 5.1 (agent read; owner re-read owed)
sandvik,iso_45001_certified,2024,1,boolean,employees,https://www.annualreport.sandvik/en/2024/sustainable-business/non-financial-notes/health-and-safety.html,2026-09-13,Claude Fable 5.1 (agent read; owner re-read owed)
basf,trifr,2024,3.78,per_million_hours,employees_and_contractors,https://report.basf.com/2024/en/combined-managements-report/consolidated-sustainability-statement/social/s1-own-workforce/metrics.html,2026-09-13,Claude Fable 5.1 (agent read; owner re-read owed)
strabag,trifr,2024,13.2,per_million_hours,employees,https://report.strabag.com/2024/ar/en/eigene-belegschaft,2026-09-13,Claude Fable 5.1 (agent read; owner re-read owed)
strabag,iso_45001_certified,2024,1,boolean,employees,https://report.strabag.com/2024/ar/en/eigene-belegschaft,2026-09-13,Claude Fable 5.1 (agent read; owner re-read owed)
ncc,ltifr,2024,3.3,per_million_hours,employees,https://www.ncc.se/annualreport2024/,2026-09-13,Claude Fable 5.1 (agent read; owner re-read owed)
lenzing,trifr,2024,4.5,per_million_hours,employees,https://reports.lenzing.com/annual-and-sustainability-report/2025/sustainability/social-information/own-workforce/metrics/health-and-safety.html,,
lenzing,iso_45001_certified,2024,1,boolean,employees,https://reports.lenzing.com/annual-and-sustainability-report/2025/sustainability/social-information/own-workforce/metrics/health-and-safety.html,,
sfs,ltifr,2024,4.1,per_million_hours,employees,https://reports.sfs.com/annual-report/2024/en/occupational-health-and-safety,,
sfs,iso_45001_certified,2024,1,boolean,employees,https://reports.sfs.com/annual-report/2024/en/occupational-health-and-safety,,
georg-fischer,ltifr,2024,6.5,per_million_hours,employees_and_contractors,https://www.georgfischer.com/content/dam/commonassets/corp/documents/reports/sustainabilty-reports/sustainability-statement-2024/sustainability-statement-2024-en.pdf,,
wienerberger,trifr,2024,9.36,per_million_hours,employees,https://annualreport.wienerberger.com/2024/_assets/downloads/nfs-non-financial-statements-wb-ar24.pdf,,
vinci,ltifr,2024,5.8,per_million_hours,employees,https://www.vinci.com/publi/vinci/extract/2024_workforce_related_environmental_and_social_information.pdf,,
eiffage,ltifr,2024,4.22,per_million_hours,employees,https://www.eiffage.com/files/live/sites/eiffagev2/files/Finance/Rapport%20Annuel/eif-2024_urd_fr_web.pdf,,
royal-bam,ltifr,2024,2.9,per_million_hours,employees,https://www.bam.com/sites/bamc/files/2025-02/bam-2024-annual-report.pdf,,
royal-bam,trifr,2024,3.1,per_million_hours,employees,https://www.bam.com/sites/bamc/files/2025-02/bam-2024-annual-report.pdf,,
royal-bam,iso_45001_certified,2024,1,boolean,employees,https://www.bam.com/sites/bamc/files/2025-02/bam-2024-annual-report.pdf,,
skanska,ltifr,2024,2.2,per_million_hours,employees_and_contractors,https://www.skanska.com/group/en/sustainability/sustainability-performance/performance-metrics/five-year-overview,,
skanska,ltifr,2024,2.1,per_million_hours,employees,https://www.skanska.com/group/en/sustainability/sustainability-performance/performance-metrics/five-year-overview,,
skanska,iso_45001_certified,2024,1,boolean,employees,https://www.skanska.com/group/en/sustainability/sustainability-performance/performance-metrics/five-year-overview,,
